gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_wb
K08B12.1,9.472460634983664,5.675692276332387,2.2239740014239295,2.74425815291378e-5,0.0010563345934872595,K08B12.1
ubr-4,257.55748784968597,1.2172225857353618,0.3357919360920856,2.756047111999552e-5,0.0010577151044414948,C44E4.6
B0303.3,367.1933641360483,1.41841085199026,0.4258901043492087,2.7788719943481386e-5,0.0010580571964333536,B0303.3
srh-34,5.4450843665925746,-5.38683865934936,2.059793132669022,2.7768136749904317e-5,0.0010580571964333536,M02H5.10
nspc-7,55.48301569170469,2.0127991315373195,0.7830635207437261,2.7815540100109104e-5,0.0010580571964333536,C03G5.2
ric-3,222.8491653937241,-1.1886039112975697,0.3254141798213528,2.8367227005944422e-5,0.0010758688007107451,T14A8.1
spp-11,168.5228795035555,-4.770745076383992,1.8100421876964559,2.920401999767539e-5,0.0010979178946647935,T25D10.3
fat-5,135.5229719594371,1.8315672590453747,0.675206827659716,2.913160461648185e-5,0.0010979178946647935,W06D12.3
chs-2,10.187589834590034,5.498691385798096,2.1446793677206,2.912557543867483e-5,0.0010979178946647935,F48A11.1
F53C3.6,75.91116370931384,-2.6987768022126413,1.1316337299152226,2.956913393558087e-5,0.0011084127386608003,F53C3.6
C31H5.1,5.0497315563475285,-4.9756745341610475,1.9055181579365055,3.043690949759011e-5,0.0011348444006700961,C31H5.1
ugt-37,851.6848637201861,2.0052622076080695,0.7866475160997956,3.0450264647681528e-5,0.0011348444006700961,F10D2.6
F57B10.5,79.11062948485444,1.303825505648798,0.37500521082073734,3.072716528451824e-5,0.0011418639664088261,F57B10.5
nlp-24,57.51026681341634,1.6621685705687839,0.5725051857835903,3.139185110350014e-5,0.0011632124137345814,F35B12.7
C35B1.5,351.0008034234686,1.4455392801066032,0.4462242165829698,3.242010182245779e-5,0.0011978716704888056,C35B1.5
nex-1,694.9419807785589,-1.6953953860976958,0.5970714887892715,3.3074037638376284e-5,0.0012185420438481777,ZC155.1
trap-1,791.9528848231873,1.3524774642382105,0.40057113427650176,3.376422696755106e-5,0.0012383143084647565,Y71F9AM.6
F36H2.3,98.56263017686479,-1.639275428347494,0.5628223436161478,3.3898794175111206e-5,0.0012383143084647565,F36H2.3
acox-1.1,275.1466432484482,1.6173168881597582,0.5488562512061151,3.382333008884595e-5,0.0012383143084647565,F08A8.1
ccg-1,222.75973584018178,-1.4369980006002039,0.44414561743120234,3.438040651211123e-5,0.0012487621907291027,Y73F8A.6
sodh-1,1946.8770055088453,-2.0123759373457384,0.8024002416230674,3.4475326863091163e-5,0.0012487621907291027,K12G11.3
nspc-18,60.2137332679742,1.8711623266949768,0.7138508914478355,3.4456873882213185e-5,0.0012487621907291027,D1025.7
F25D1.3,6.835127945545224,5.388808033185464,2.1693830376673624,3.4654462026603205e-5,0.0012517346998124604,F25D1.3
ztf-2,180.03603429773733,3.090938549547653,1.309332241113372,3.5761259062983236e-5,0.0012881045687630414,F13G3.1
gpx-5,244.71693540152197,-1.7106030122932556,0.6166063059573249,3.8021132145835135e-5,0.0013656894123134933,C11E4.1
F53F1.2,84.15980504413504,1.8038587288184242,0.6802548314248974,3.9043077131370313e-5,0.0013985013322472782,F53F1.2
C35D10.5,63.12816980053706,1.1793398968129556,0.3302115949177924,3.980852072145068e-5,0.0014219691820030653,C35D10.5
cye-1,23.741979072225973,4.744577219875059,1.9173927419402348,4.08009883955245e-5,0.0014455998366519004,C37A2.4
F01D5.3,118.14226004840464,1.8133662295626778,0.6901593764002864,4.0806385462682574e-5,0.0014455998366519004,F01D5.3
cri-3,851.5635358034242,1.328080328194094,0.39594029901504363,4.126997462020703e-5,0.0014580173225412867,F59A2.3
pam-1,235.15875489269433,1.1782030104750285,0.3310987608038082,4.1937109044881735e-5,0.0014775383091086064,F49E8.3
T10B5.8,14.417798363300971,-4.405825110142508,1.7952527152005309,4.244930835540527e-5,0.0014915090769562695,T10B5.8
pas-1,220.68705074401856,1.1701151614293366,0.32866716941792956,4.320617472397876e-5,0.0015139772365915928,C15H11.7
C29E4.15,38.591258614234306,2.636021119361605,1.1607048835784022,4.424893822751026e-5,0.001538632786172469,C29E4.15
brp-1,341.84389053086375,-1.2282554704043582,0.35302861585587053,4.4138682930415605e-5,0.001538632786172469,Y79H2A.1
C17H12.6,11.469308347031118,5.133466640365096,2.1467530140214683,4.430687160408592e-5,0.001538632786172469,C17H12.6
C05E11.6,84.91467301120841,-1.604749677844153,0.5577907022782069,4.450640009634207e-5,0.001538632786172469,C05E11.6
C29F7.2,91.57122454960991,2.1019755452635964,0.8823483904958581,4.44738305124766e-5,0.001538632786172469,C29F7.2
rsp-3,1094.1547577603428,1.0063871690736728,0.2701495103927383,4.4695019456909565e-5,0.0015410221280664407,Y111B2A.18
emo-1,875.8667875661882,1.4876428352582167,0.48570561030631554,4.5378220525474636e-5,0.0015562557278616899,F32D8.6
lgg-1,2079.7128159230156,-1.0052398164965064,0.2702320438444221,4.581296135982313e-5,0.0015669977101721996,C32D5.9
chil-24,111.48760427337994,-1.5371737018871816,0.5174799753032017,4.667671926620009e-5,0.001588242258225272,T10D4.3
nspc-20,386.2006357516555,1.4211108651991984,0.4488539072533569,4.6680404487582636e-5,0.001588242258225272,D1025.4
lon-3,26.945672178435345,5.739362579141917,2.785303152572357,4.68160542732945e-5,0.0015886658417214013,ZK836.1
Y53G8AM.5,6.411489528376718,5.0092255300998,2.1130036020101755,4.7640032505239885e-5,0.0016123837773098905,Y53G8AM.5
hil-3,1163.5608263037896,-1.528788023272857,0.5145381773103257,4.859833340546927e-5,0.0016405118043547808,F22F1.1
vhp-1,742.9213234620037,-1.5183349721014434,0.5092227918385276,4.964670763511442e-5,0.0016715255742945183,F08B1.1
Y53F4B.39,27.130662325438916,1.6068074391042466,0.5666143209922943,4.991604438613149e-5,0.0016750020667160544,Y53F4B.39
K10C2.1,693.6943917784222,1.2457266136038274,0.3643463644525068,5.000975538469802e-5,0.0016750020667160544,K10C2.1
scl-20,71.3343873691745,-3.321844867790507,1.457542750221648,5.0584498817462286e-5,0.0016826827036996277,ZK384.2
pdi-6,945.2500423032557,1.48350419802264,0.48892941857764727,5.0630545873241995e-5,0.0016826827036996277,B0403.4
plpr-1,23.11378079299046,3.570423967347538,1.5490941489383134,5.115216689289685e-5,0.001695648308698984,T06D8.3
prdx-3,136.78986957882697,1.0382142543178583,0.28454924332237147,5.334517564718124e-5,0.0017638103588984667,R07E5.2
scl-12,385.7904646687806,-4.632332553964736,1.9794730745722697,5.41192911057811e-5,0.0017757462056209854,H10D18.2
acdh-2,9.102244670765284,5.26393473392713,2.3526409452743366,5.384446718236203e-5,0.0017757462056209854,C17C3.12
H03E18.1,8.807896220915541,5.2831734252036515,2.371041898031424,5.405208171145312e-5,0.0017757462056209854,H03E18.1
R02C2.7,38.633068842205276,1.7089336246750098,0.6424144379807258,5.43296926019715e-5,0.0017781253454376205,R02C2.7
F37H8.5,74.26301020198363,1.343425769878179,0.4140319015449123,5.4628637869150206e-5,0.0017823583209488295,F37H8.5
F20G2.2,54.11877104162053,1.8442399706944788,0.7370551072799915,5.487369161819971e-5,0.0017823583209488295,F20G2.2
R57.2,25.43842567921439,4.514834828346654,1.9311897725046911,5.48488007129822e-5,0.0017823583209488295,R57.2
tag-297,9.245292775255065,4.213252609136387,1.806673354629646,5.5124053491882015e-5,0.0017859916326075844,C38C6.6
Y64H9A.2,14.16352690843734,4.06854145823276,1.756775833420995,5.626413301965567e-5,0.0018183608904472678,Y64H9A.2
Y50D7A.10,30.477937610623563,1.6321085539995828,0.59676465103386,6.008094727845732e-5,0.0019320294642286963,Y50D7A.10
C34C12.8,265.54328068396273,1.322965731067113,0.4078045652142627,6.083366862496032e-5,0.0019513685495494116,C34C12.8
csq-1,190.46932943263684,-1.085334062008977,0.30471793998629715,6.138782324923285e-5,0.0019642580168706143,F40E10.3
erd-2.2,599.708946460408,1.183536501804707,0.34374811917513864,6.162584600689862e-5,0.001966993277868707,C28H8.4
emb-9,201.99635628673371,1.4489028790827176,0.4788547257655817,6.219719167557534e-5,0.001980327868287763,K04H4.1
pgph-2,581.4700643805946,2.208674847560153,0.9858404474582417,6.236219333229653e-5,0.0019806908448767578,F44E7.2
cpt-4,15.302529143625875,2.4646888678555374,1.1285427797984466,6.260538329558524e-5,0.001983529281564058,K11D12.4
hpd-1,188.55234143632353,1.4354509515368479,0.4714258726380871,6.296921332775821e-5,0.0019853007478274867,T21C12.2
T06E6.10,35.18697796079028,1.6105903858861217,0.5852479306918166,6.293799451534979e-5,0.0019853007478274867,T06E6.10
cpn-2,14.530247881321324,2.989422737873092,1.3761244528913272,6.41786822267301e-5,0.002008699289596322,D1069.2
spp-20,59.3674727136591,-4.678097497420441,2.0782366339717995,6.417304052159125e-5,0.002008699289596322,K04A8.8
aqp-8,75.8626476046463,1.884794561137576,0.7799835037634424,6.395967851378033e-5,0.002008699289596322,K02G10.7
C26B9.3,16.45474065450098,2.783682261134429,1.2942741064427017,6.69758867141267e-5,0.0020911720561226726,C26B9.3
F36F2.2,141.72319337270056,-1.4169031358048039,0.4641295834142905,6.774521181173927e-5,0.002110083348580623,F36F2.2
dnj-27,89.49671775882288,1.4332225770049598,0.47427855268456304,6.829034633501698e-5,0.00211848332076431,Y47H9C.5
F56B3.11,109.67588150134704,1.0764334118592565,0.303909992127255,6.834347122434688e-5,0.00211848332076431,F56B3.11
dpy-5,35.21831499853207,5.4619831231848455,3.005420642082093,6.879163924942907e-5,0.0021272618420177165,F27C1.8
B0261.7,13.90107816671545,4.330707366278944,1.948786545670397,7.082310439840725e-5,0.00218484194071163,B0261.7
gstk-1,61.11169914463671,1.824426347411888,0.7504082558268126,7.270730876773177e-5,0.002237615146921005,ZK1320.1
F41H8.2,6.819591293615589,-4.689523054899138,2.1521853303943366,7.3408345098247e-5,0.0022538109762902264,F41H8.2
nex-2,216.45789806581533,-1.7057648589988497,0.6661781052035942,7.410392621285109e-5,0.002264384190793163,T07C4.9
F58B4.3,887.0464991846317,-1.008778647277622,0.28106587682557904,7.410337339673201e-5,0.002264384190793163,F58B4.3
