gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,compared_condition,gene_wb
hrg-7,62.474960800236815,-2.6300395976416833,0.9190183479186412,8.316364274002005e-5,0.005294781764663175,B,C15C8.3
F02C12.2,7.420112076430048,3.713119953879486,1.8359981304179158,8.740473859339552e-5,0.00551931179149185,B,F02C12.2
asp-13,102.04592586101045,3.414611518785102,1.4387293132445216,9.323982242105017e-5,0.005783757689955526,B,F28A12.4
F49F1.5,10.630913296352679,3.5142795139240364,1.873999934607945,1.2614006709808358e-4,0.007457722300343069,B,F49F1.5
nas-9,31.119138523950593,3.326000186892536,1.5252067191306828,1.273129516486215e-4,0.007490348828458654,B,C37H5.9
fbxa-60,42.87414168238771,2.782134620234975,1.1002280877566686,1.296366273490644e-4,0.007590035740082844,B,T12B5.10
F42A10.6,39.225131477196925,3.3281147287165886,1.5754391702665929,1.3606727741763224e-4,0.00780057354441511,B,F42A10.6
asah-2,79.00031228782639,1.9941433999867113,0.7713401154981632,1.5261497580988006e-4,0.008561345224385876,B,F27E5.1
C09F9.2,434.30213483359194,3.1264798126546793,1.448366762228672,1.612238156093019e-4,0.00896092368692991,B,C09F9.2
C18C4.17,11.019357423041228,3.1962348462006447,2.2851526626531857,1.8956879100097548e-4,0.010207094590458774,B,C18C4.17
B0495.9,54.974471217633415,-1.365396121242607,0.5648666817212507,1.9098659395025799e-4,0.010237730265040275,B,B0495.9
Y26E6A.2,40.999781807921984,2.4375263632381494,1.151574697397144,2.882673964179764e-4,0.014366913504947162,B,Y26E6A.2
F20G2.1,15.791470146442848,2.883002648456367,1.6001802432904129,3.01493540247144e-4,0.014964253452348988,B,F20G2.1
T06E6.10,35.18697796079028,1.774408301227856,0.8169507492707063,3.121629174174468e-4,0.015242902619319133,B,T06E6.10
C05C8.7,349.249329999544,1.5697187092056606,0.734866274131724,3.297190343269218e-4,0.015881884143676476,B,C05C8.7
C08E8.5,6.096076538205181,-2.6158480498899044,2.404178571511241,3.424867664305774e-4,0.016391797182219024,B,C08E8.5
Y16B4A.2,105.43865650921289,1.7585210874736446,0.8512806834673232,3.7600216581032056e-4,0.017423429021956923,B,Y16B4A.2
T15B7.1,13.559881324015416,2.5243863031907785,2.3346646039668726,4.2755200133391365e-4,0.0191699059036741,B,T15B7.1
ftn-2,334.5532862543783,1.2532272550037529,0.6373911719062532,4.403189167668595e-4,0.01959662898570145,B,D1037.3
F38B6.4,13.998801184974917,-2.041176135111795,1.0775939832055397,4.794968340161857e-4,0.021029859327524422,B,F38B6.4
mrp-1,101.49745806040916,1.1088048101269832,0.590667353939808,5.231846782371503e-4,0.022616954853828922,B,F57C12.5
C45G9.6,70.65990258739696,1.9939401280790185,1.1135809791966471,5.768711114060783e-4,0.02467249104492451,B,C45G9.6
sod-5,22.750338775618907,-2.498121648436337,1.8272684846378664,6.431934052129618e-4,0.026935957153727545,B,ZK430.3
W06H8.2,11.735292414275454,2.4700706928119236,1.9871530242806896,6.602430583612014e-4,0.027459281127222242,B,W06H8.2
Y54G2A.10,134.93405006306583,1.883474722695885,1.158294769907022,7.885505447952465e-4,0.031702360402584895,B,Y54G2A.10
C23H4.8,45.724898262931546,-1.714227085031461,1.0367899665562017,7.872941428529365e-4,0.031702360402584895,B,C23H4.8
gst-20,495.7222818491369,1.328071228324487,0.8037224598153689,8.104931216923554e-4,0.03226190607502145,B,Y48E1B.10
lin-42,131.78539604830345,2.274524211520764,1.6179069638125712,8.25045984694793e-4,0.03263908444026139,B,F47F6.1
C01G10.9,27.046295638671353,2.088473985761338,1.3743358916894748,8.414016411630942e-4,0.03296408052002674,B,C01G10.9
trap-4,1469.8905691724287,-1.0804881336805552,0.6646706686452555,8.575665204334187e-4,0.03333700763399839,B,Y56A3A.21
rsp-4,145.53028735296834,-1.0701201201903412,0.6786824860525701,9.477676005781688e-4,0.03628896835102633,B,EEED8.7
lin-22,73.00889369407908,1.850188865935227,1.237931255309099,9.978334917611867e-4,0.03784550234003671,B,Y54G2A.1
emo-1,875.8667875661882,-1.2033670165391073,0.7805134108947278,0.0010142766445786937,0.03822872065707383,B,F32D8.6
clec-166,26.571220496799665,2.071502967981794,1.494499945406092,0.0010197106296867594,0.03831380032601871,B,F38A1.5
T23F4.2,253.28563532885957,1.0691353256735374,0.697002010286513,0.0010354113423785927,0.03878290745474598,B,T23F4.2
enu-3.2,21.05950990578074,2.117491086632541,1.794763537902325,0.0011430173176817163,0.04203028008707067,B,C38D4.1
D1065.7,6.402158307224343,-1.9560178662577772,2.0644980007733067,0.0012109031499879614,0.04372665536528384,B,D1065.7
F59D12.2,39.099453170320686,2.0578497859276146,1.8283856657441167,0.0012496464238715666,0.04485709975688978,B,F59D12.2
sdz-24,7.171441786726399,1.7407330716264857,2.1090998345602463,0.0013495993672791317,0.0474563206086111,B,K07E8.3
