"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"parents";"evidence_codes";"intersection";"tp"
"query_1";TRUE;2,15928885906396e-07;848;1113;108;0,0970350404312668;0,127358490566038;"KEGG:01100";"KEGG";"Metabolic pathways";15255;181;"KEGG:00000";"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG";"F59B8.2,T08B2.7,R02D3.1,C49F5.1,C29E4.8,F35G2.4,Y57A10A.23,C05C10.3,Y47D3B.10,T09B4.8,R09B5.6,F47G4.7,Y56A3A.19,C05D11.11,Y57A10C.6,ZK430.2,B0272.3,JC8.5,K02F2.2,C05C8.7,ZK1127.10,C01F1.3,T08G2.3,R53.2,C15F1.6,F20B6.2,F23H11.3,Y75B8A.9,E04F6.3,B0303.3,W06D12.3,F48A11.1,F08A8.1,K12G11.3,C11E4.1,F44E7.2,T21C12.2,ZK1320.1,Y41E3.4,T05A12.2,T22D1.4,C52E4.5,ZK686.3,T02G5.8,Y17G7B.10,F09F7.4,Y39G8B.1,Y47D9A.1,K07A12.3,F07H5.9,T04D3.3,Y46H3A.6,C37H5.6,F11G11.3,R07B7.11,F58B3.5,F27D4.5,F07A11.2,ZK669.4,C54G7.2,T03F6.1,T25G12.5,R06C7.5,B0491.1,F42D1.2,ZK652.9,Y43F4B.5,F47A4.5,C14F11.6,W01A8.4,K06A5.6,K08F8.4,C15H9.7,B0365.1,F32G8.6,C16A3.10,M03A8.1,K08F4.7,F52D1.1,C50F7.4,Y39E4A.3,T15B7.2,T02G5.7,F31B12.1,C03C10.3,F32H2.5,H43I07.3,ZK1058.6,F32B6.2,K09E4.4,F28A10.6,C01G10.9,C06A6.4,F32D1.2,F09E10.3,Y17G7B.7,D2063.1,F35G12.10,T09A5.11,T07C12.9,D2023.5,ZK546.11,T05G5.6,C44H9.1,T27E9.5,T13B5.3,B0250.5,C08B11.8";"9h"
"query_1";TRUE;3,88855574944854e-07;529;1113;78;0,0700808625336927;0,147448015122873;"GO:0016491";"GO:MF";"oxidoreductase activity";15255;3556;"GO:0003824";"IBA IEA,IBA IEA,IDA,IBA IEA,IBA IEA,IEA,IEA,IEA,IEA,IDA IBA IEA,IEA,IBA IEA,IBA IEA,IBA IEA,IEA,IBA IEA,IEA,IDA IEA,IBA IEA,IBA,IEA,IDA IBA IEA,IEA,IBA IEA,IBA IEA,IEA,IBA IEA,IEA,IBA,IEA,IEA,IEA,IEA,IBA IEA,IEA,IBA IEA,IEA,IBA IEA,ISS IEA,IBA IEA,IBA IEA,IBA IEA,IBA IEA,IEA,IBA IEA,IBA IEA,IEA,IEA,IEA,IEA,IBA IEA,IEA,IEA,IEA,IEA,IBA IEA,IEA,IEA,IEA,IBA IEA,IEA,IBA IEA,IBA IEA,IEA,IEA,IEA,IBA IEA,IEA,IEA,IEA,IBA IEA,IBA IEA,IEA,IBA IEA,IBA IEA,IBA IEA,IBA IEA,IEA";"T10H4.11,F59B8.2,F46E10.9,T08B2.7,R02D3.1,F35G2.4,Y57A10A.23,F49H12.5,Y47D3B.10,F43E2.5,R09B5.6,K07C6.4,K07C6.2,F23C8.5,B0272.3,C06B3.3,T08G2.3,F09E5.15,C15F1.6,E04F6.3,W06D12.3,F08A8.1,K12G11.3,C11E4.1,F53F1.2,T10B5.8,R07E5.2,C17C3.12,F37H8.5,F20G2.2,T21C12.2,Y47H9C.5,ZK1320.1,T09H2.1,C45B11.3,Y39G8B.1,Y34D9A.6,H04M03.4,K11H3.1,K07C6.3,C03G6.15,H24K24.5,F41B5.3,F47B8.3,T03F6.1,T25G12.5,W01A8.4,F25D1.5,C06E4.3,K06A5.6,F27D4.1,K08F8.4,C02C2.1,C36A4.2,M03A8.1,F49E12.9,F21C3.2,F29B9.2,C32D5.12,C24G6.6,Y39E4A.3,C03C10.3,F49E10.2,ZK742.4,F32H2.5,F55E10.6,C25E10.2,R05D8.10,F28A10.6,R08H2.1,F09E10.3,D2063.1,F14F7.3,T10H4.10,K09D9.2,F27D9.6,B0250.5,F12E12.11";"9h"
"query_1";TRUE;1,37553934158127e-05;359;1113;57;0,0512129380053908;0,158774373259053;"GO:0006082";"GO:BP";"organic acid metabolic process";15255;2123;"c(""GO:0044237"", ""GO:0044281"", ""GO:0071704"")";"IBA,IBA IEA,IBA IEA,IBA IEA,IEA,IBA,IEA,IBA,IEA,IEA,IBA,ISS,IBA,IEA,IBA IEA,ISS IBA,IBA IEA,IDA IBA IEA,IBA,IEA,IBA IEA,IBA,IBA,IBA IEA,IBA,IBA,IBA IEA,IBA,IMP IBA,IBA,IEA,IBA,IBA,IEA,IBA,IEA,IEA,IBA IEA,IMP,IBA,IEA,IBA,IEA,IBA,IBA IEA,IBA,IBA,IEA,IMP,IBA,IBA IEA,IBA IEA,IBA,IBA,IBA IEA,IBA,IBA IEA";"T10H4.11,F59B8.2,T08B2.7,R02D3.1,R09B5.6,K07C6.4,Y56A3A.19,K07C6.2,C05D11.11,B0272.3,C06B3.3,K02F2.2,F09F3.9,ZK1127.10,C15F1.6,E04F6.3,B0303.3,F08A8.1,K11D12.4,T21C12.2,Y41E3.4,T09H2.1,T02G5.8,F09F7.4,K07C6.3,C03G6.15,F58B3.5,F41B5.3,F27D4.5,W01A11.5,F07A11.2,T03F6.1,T25G12.5,F42D1.2,F27D4.1,K08F8.4,C15H9.7,B0365.1,M03A8.1,R07H5.2,Y39E4A.3,T02G5.7,F32H2.5,C25E10.2,C01G10.9,C17C3.1,R186.6,C06A6.4,K04A8.5,F09E10.3,Y17G7B.7,K05B2.4,D2023.5,T10H4.10,C12C8.2,K09D9.2,B0250.5";"9h"
"query_1";TRUE;3,042099505083e-05;85;1113;22;0,0197663971248877;0,258823529411765;"GO:0042302";"GO:MF";"structural constituent of cuticle";15255;6637;"GO:0005198";"IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IMP IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA";"F23H12.4,T14B4.7,F46C8.6,T21D12.2,EGAP7.1,C31H2.2,T14B4.6,B0024.1,B0491.2,ZK1290.3,C01B12.1,T10E10.5,ZK836.1,F27C1.8,B0222.6,T10E10.2,F30B5.1,T28F2.6,T07H6.3,B0222.8,F02D10.1,ZC373.7";"9h"
"query_1";TRUE;5,77385661138696e-05;421;1113;62;0,0557053009883199;0,147268408551069;"GO:0055114";"GO:BP";"obsolete oxidation-reduction process";15255;16857;"character(0)";"IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA";"T10H4.11,F59B8.2,T08B2.7,R02D3.1,F35G2.4,Y47D3B.10,F43E2.5,R09B5.6,K07C6.4,K07C6.2,B0272.3,C06B3.3,T08G2.3,F09E5.15,W06D12.3,F08A8.1,K12G11.3,C11E4.1,F53F1.2,T10B5.8,R07E5.2,C17C3.12,F20G2.2,T21C12.2,T09H2.1,C45B11.3,Y39G8B.1,H04M03.4,K11H3.1,K07C6.3,C03G6.15,H24K24.5,F41B5.3,T03F6.1,T25G12.5,F56D1.5,F25D1.5,C06E4.3,K06A5.6,K08F8.4,C36A4.2,M03A8.1,F49E12.9,C32D5.12,C24G6.6,C03C10.3,F49E10.2,ZK742.4,F32H2.5,F55E10.6,C25E10.2,R05D8.10,F28A10.6,R08H2.1,F09E10.3,D2063.1,F14F7.3,T10H4.10,K09D9.2,F27D9.6,B0250.5,F12E12.11";"9h"
"query_1";TRUE;8,13833706944238e-05;45;1113;14;0,0125786163522013;0,311111111111111;"KEGG:00071";"KEGG";"Fatty acid degradation";15255;11;"KEGG:00000";"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG";"T08B2.7,R09B5.6,B0272.3,T08G2.3,B0303.3,F08A8.1,K12G11.3,T02G5.8,T25G12.5,K06A5.6,R07H5.2,T02G5.7,D2063.1,T05G5.6";"9h"
"query_1";TRUE;0,000342132277407651;32;1113;11;0,00988319856244385;0,34375;"KEGG:00640";"KEGG";"Propanoate metabolism";15255;111;"KEGG:00000";"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG";"T08B2.7,F23H11.3,F08A8.1,T02G5.8,F09F7.4,F27D4.5,ZK669.4,C50F7.4,Y39E4A.3,T02G5.7,T05G5.6";"9h"
"query_1";TRUE;0,000406255728559227;4;1113;4;0,00359389038634322;1;"WP:WP2224";"WP";"Ascaroside Biosynthesis";15255;43;"WP:000000";"WP,WP,WP,WP";"Y57A10C.6,E04F6.3,F08A8.1,M03A8.1";"9h"
"query_1";TRUE;0,00134525109675827;411;1113;53;0,0476190476190476;0,128953771289538;"MIRNA:000000";"MIRNA";"MIRNA root";15255;1;"character(0)";"MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA,MIRNA";"F47F6.1,W04G3.2,C25F6.7,T08B2.7,T14B1.1,T23G7.3,C05C10.3,F49H12.5,Y53C12B.2,M01H9.3,C15C8.3,F58E10.3,C05C8.7,F42A10.3,H42K12.3,D1044.2,C34F6.1,T17H7.1,T05C1.4,K07A12.2,C18E9.6,K10D3.4,F52A8.1,B0303.3,H03E18.1,C28H8.4,C52E4.5,AH9.6,C34E7.4,Y47D9A.1,C37H5.6,F32B5.6,F52F10.2,F42D1.2,F55A11.1,C09G4.2,R186.8,C02F5.7,CC8.2,C16A3.10,K07B1.6,C48B6.10,Y71F9AL.17,F52D1.1,T15B7.2,C10E2.6,T05F1.1,F56A8.3,ZC247.1,Y57A10B.1,F32D1.2,C09D1.1,C06G8.1";"9h"
"query_1";TRUE;0,00145782272354448;99;1113;22;0,0197663971248877;0,222222222222222;"GO:0007218";"GO:BP";"neuropeptide signaling pathway";15255;3129;"GO:0007186";"IEA,IEA,IEA,IEA,IDA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA";"F42G9.4,F09E8.8,F26A10.1,C01A2.7,C26F1.10,D2005.2,D1009.4,E03D2.2,F35B12.7,C03G5.7,T24D8.5,H32K21.1,C02B4.4,Y48D7A.2,T01B6.4,CC4.2,C45G9.13,T07C12.15,Y37D8A.15,K04H4.7,R08B4.5,Y67D8B.4";"9h"
