gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,compared_condition,gene_wb
H42K12.3,31.35192179265703,4.303856048310743,2.5420586225689403,7.70529787431934e-5,0.010576117102957494,A,H42K12.3
cpr-6,173.96653406450602,2.242374248234757,1.043857498475022,8.0432425866333e-5,0.010927319571268954,A,C25B8.3
wrt-2,24.97483164671931,4.268253761755196,2.64582778933528,8.154210516588082e-5,0.010966177658369065,A,F52E4.6
egg-6,92.72050582036617,2.6911212850033026,1.256120935860566,8.489204004177008e-5,0.011190620011050763,A,K07A12.2
C35A11.2,35.45298525722475,2.869927277056503,1.338916319621681,8.441831272806807e-5,0.011190620011050763,A,C35A11.2
dnj-27,89.49671775882288,1.3521327402724295,0.7440255144183685,1.0213252495252225e-4,0.013331298404096876,A,Y47H9C.5
C34F6.1,146.84211687830268,3.800978386302063,2.135054460470112,1.0411633205670755e-4,0.013458299466048585,A,C34F6.1
col-128,8.929706745737072,3.9911220162235,2.6151384012075014,1.0879053100623325e-4,0.01392728009439413,A,F12F6.9
R06A10.1,16.35557120963325,3.7730702292744507,2.231326847341126,1.1556767583062303e-4,0.014653981295323,A,R06A10.1
cdh-10,50.83746663367596,2.522855142200689,1.3313510121422543,1.231415977506674e-4,0.015467049362758358,A,C45G7.5
Y102A11A.5,46.47814946566719,3.8580121010909063,2.6681684662579523,1.2534430545484168e-4,0.015596580213324879,A,Y102A11A.5
F59B10.5,43.71549540762804,2.1309806962824123,1.152784432867185,1.274691803150479e-4,0.01571411728439396,A,F59B10.5
cutl-6,15.513740419992283,3.6390223816299834,2.201667746439052,1.2978968174220598e-4,0.015853392868951655,A,W01A8.3
dpy-4,38.9647404566947,3.7570211168443186,2.48299568547955,1.3409385543318341e-4,0.016230232647612763,A,Y41E3.2
cpn-2,14.530247881321324,2.4494794715121415,1.3425096199623328,1.3741295490460404e-4,0.016482126861260344,A,D1069.2
sqt-2,32.75167147460484,3.717380452137096,2.4997195114476285,1.403696613683261e-4,0.016686443495159766,A,C01B12.1
nas-4,91.45483006680888,2.740145211438695,1.5415153033950206,1.4674915904437744e-4,0.017138757048393342,A,C05D11.6
Y41G9A.2,51.98056812454697,3.693428783966087,2.8202104253150844,1.456444380128419e-4,0.017138757048393342,A,Y41G9A.2
Y51A2A.4,238.63994392248173,-1.1404367402581712,0.745741079128984,1.648226572776536e-4,0.019082163991258085,A,Y51A2A.4
F47B10.5,54.34242489754785,1.7891784747959283,1.114140507819317,1.8176894957870862e-4,0.020684374313597664,A,F47B10.5
ZC84.6,9.483361265268277,3.402064587912216,2.4914284033893255,1.9233934899440133e-4,0.021701746546707285,A,ZC84.6
col-149,22.714686756409574,2.8786374786446487,1.8386016310262838,1.9784808478689748e-4,0.02213570925086347,A,B0024.1
ptr-4,35.21395155750106,2.8890774764840477,1.868091451134004,2.029419036277429e-4,0.022516404207498078,A,C45B2.7
nspc-7,55.48301569170469,1.5619650041072157,1.0567279266141691,2.1835513937523034e-4,0.024026283682990222,A,C03G5.2
gtl-1,48.68157082326108,-1.049499175768125,0.7902270861381023,2.4792344856895313e-4,0.027056170444647885,A,C05C12.3
F41G3.3,6.066365581008282,2.8135198845460456,1.9884676658288913,2.5154879824249124e-4,0.027228623575614053,A,F41G3.3
Y38H8A.1,14.425693230413199,3.02996702940031,2.297029408891248,2.5702303041887634e-4,0.027596811508039675,A,Y38H8A.1
F46G11.2,18.03749751833293,2.1444540884280223,1.4925937504785558,2.672844170128279e-4,0.02824305339768882,A,F46G11.2
F49E10.2,43.83267827921021,3.094993444646979,2.5928381964086635,2.657069400239006e-4,0.02824305339768882,A,F49E10.2
fkb-5,142.5284583963645,1.604358144101702,1.158727152774173,2.709168839929638e-4,0.028401475539230864,A,C50F2.6
F30H5.3,123.69859083137484,3.03713562198851,2.473349273741737,2.752664479119651e-4,0.028632011621092995,A,F30H5.3
mlt-8,80.09022877115171,2.246208024655244,1.590283579710506,2.799536793149258e-4,0.02889382392557304,A,W08F4.6
fmo-4,53.05364975644747,1.894440662163192,1.3721647983860252,2.9209623469119296e-4,0.029915148220604176,A,F53F4.5
grl-7,6.983224774845972,2.776270707962699,2.9552978993912165,3.0395126738293286e-4,0.030657630105578544,A,T02E9.2
hpo-36,9.395062799582597,2.8531268676672603,2.346668157917193,3.1598758332074256e-4,0.031632020182950124,A,T27C4.2
F25D1.3,6.835127945545224,2.788479201507678,2.298743438555022,3.2965120008134904e-4,0.03275355282002299,A,F25D1.3
hlh-17,19.309693986420893,-1.9580655057508303,1.4895008135428656,3.375978836240622e-4,0.03329465350052418,A,F38C2.2
