gene,baseMean_A,log2FoldChange_A,lfcSE_A,pvalue_A,padj_A,compared_condition_A,gene_wb,baseMean_B,log2FoldChange_B,lfcSE_B,pvalue_B,padj_B,compared_condition_B
lonp-2,128.31287956850363,-4.400706261212673,0.6030911956776858,1.89407414240379e-14,4.2741869715193325e-12,A,Y75B8A.4,128.31287956850363,-3.1123466151388124,0.6930357248197627,1.136633454374767e-6,1.59406233642024e-4,B
gpx-5,244.71693540152197,-3.8934057045985466,0.5293748790048457,2.2545289373979014e-14,5.0027997120859435e-12,A,C11E4.1,244.71693540152197,-1.2718867646447725,0.9172521690618813,0.0014067304817539992,0.04917848214618836,B
C39E9.8,83.17667661478856,-3.3531965461113615,0.45425289845235617,2.690695610014601e-14,5.872773992087606e-12,A,C39E9.8,83.17667661478856,-2.141958174399151,0.5540553574069645,1.0804688335965546e-5,0.0011263645185586074,B
F16B4.4,320.0944139378367,-3.7236410120948675,0.5104548335771438,4.109403557105481e-14,8.684539517349584e-12,A,F16B4.4,320.0944139378367,-2.385816239632641,0.6177174447205095,1.1254157737941052e-5,0.001160140140831684,B
F08D12.3,141.0064888834957,4.461493306610475,0.6237646206106469,5.014040580048885e-14,1.0430771294182947e-11,A,F08D12.3,141.0064888834957,4.245352791019452,0.7388277625236003,5.610907796613667e-10,2.1147862167174198e-7,B
cyp-25A2,101.62725839878773,-4.856206432098248,0.6867623244723029,5.1993265144724176e-14,1.0649820494413195e-11,A,C36A4.2,101.62725839878773,-3.7327791564943227,0.8052980618153146,3.4163424828653116e-7,6.059486277329195e-5,B
F01D5.5,262.49754247812325,4.5843749601015675,0.6446694765408618,5.716564743037142e-14,1.1531870149817652e-11,A,F01D5.5,262.49754247812325,3.2978921110162993,0.6991546051680003,3.815820065117381e-7,6.406432401910782e-5,B
F07H5.7,128.29858705720383,-3.841850009360658,0.5343829845487328,7.965311488799072e-14,1.5828381665950873e-11,A,F07H5.7,128.29858705720383,-2.204680832224691,0.6963086108930258,5.3306206265486e-5,0.003873049119084498,B
dhrs-4,252.57528228865283,-2.786920782728804,0.38829835799140355,8.872912307167341e-14,1.7372640361415585e-11,A,F54F3.4,252.57528228865283,-2.058517626110895,0.4561506460574136,1.2152184319446055e-6,1.66553971678226e-4,B
ugt-44,148.12688565859185,5.420884650981716,0.7894283513880823,9.782831583178621e-14,1.8876611550498574e-11,A,F01D4.2,148.12688565859185,4.712125124499682,1.014750742320521,8.25449247850122e-8,1.8265530964490856e-5,B
lon-1,420.5583601180051,4.2146933233436465,0.5955009310809035,1.179884593692842e-13,2.2441404972037856e-11,A,F48E8.1,420.5583601180051,3.866035601924888,0.6834087137868953,1.5908356785594648e-9,5.482019748315916e-7,B
C05D12.3,92.91139786177807,4.778245769823351,0.686073768448208,1.2373073928791824e-13,2.3202127646187938e-11,A,C05D12.3,92.91139786177807,2.749365958701244,0.7521002507386482,1.7218982890409514e-5,0.0016224855675096028,B
ins-5,172.2802588760329,4.410676987023259,0.6301651774056958,1.604657617329172e-13,2.9672793773778604e-11,A,ZK84.3,172.2802588760329,2.0328851285115213,0.8966208568045808,2.602487263347585e-4,0.013133304972064946,B
